ID,prediction
1,0.06911562692435223
2,9311.968827533907
3,8257.861821772416
4,7943.691858277799
5,7885.4274839934205
6,8081.345440022655
7,6236.0967427918395
8,3.3130138248847927
9,8415.989655987265
10,7727.811068876226
11,7449.916639250169
12,7425.601308858681
13,7636.542513510159
14,6474.327537994132
15,15.582843932411675
16,11612.680290975013
17,10114.736848228553
18,10323.969991055506
19,10020.14373758441
20,9569.233162252725
21,7409.39819635862
22,4.105474172464685
23,8535.9015308322
24,8052.741161154333
25,7712.310687487948
26,7554.683332322858
27,7707.110857452951
28,6353.061148302192
29,0.06911562692435223
30,8254.742716075405
31,8121.679101077974
32,7951.3654444841295
33,7849.123948537954
34,7965.675565695175
35,6276.135086359276
36,3.1891156269243526
37,8854.78787498599
38,7955.630406981449
39,7591.992070200888
40,7500.241564591684
41,7671.765960160051
42,6349.199062433165
43,4.325326056319763
44,9314.582294670176
45,8658.100930072189
46,8892.671975750347
47,9620.022594597225
48,10412.385896494312
49,0.06911562692435223
50,9363.183306975183
51,8260.048845509093
52,7953.245768275036
53,7907.364159305591
54,8079.384347317973
55,6123.854832488119
56,3.3130138248847927
57,8483.14574374139
58,7728.810656386046
59,7462.729620109697
60,7447.43298569225
61,7636.5064220835975
62,6366.062118972844
63,15.582843932411675
64,12007.633229860408
65,10030.761355898703
66,10462.157044447507
67,10054.097105250792
68,9662.528364045911
69,7444.228214250595
70,4.105474172464685
71,8682.47109231068
72,8107.438373700539
73,7745.940838262222
74,7592.289566536367
75,7720.5012308466075
76,6302.65354043554
77,0.06911562692435223
78,8359.939512016002
79,8131.872779231429
80,7958.347827737037
81,7864.316180581853
82,7962.75487721039
83,6213.47144866152
84,3.1891156269243526
85,8934.052816308675
86,7973.23818407921
87,7608.24820712673
88,7519.586868636348
89,7669.879581032232
90,6290.957145092002
91,4.325326056319763
92,9449.547385912047
93,8666.89022930426
94,8833.740225580135
95,9493.95180071898
96,10098.881611598586
97,0.06911562692435223
98,11332.92795922335
99,8961.666713860915
100,8579.343565731368
101,8506.12754412837
102,8701.803717928822
103,6937.955227566323
104,7.302046082949309
105,10279.553119896324
106,8427.234510155798
107,8077.420741148839
108,8042.21241213905
109,8287.39174458332
110,7318.292626886153
111,19.046284792626725
112,14896.4245018708
113,12209.576882187317
